H,S,B,H,S,B,H,S,B,H,S,B,H,S,B
229, 97, 78, 208, 88, 99, 334, 100, 100, 58, 100, 99, 47, 100, 100
210, 1, 98,210, 6, 85,210, 16, 34,210, 20, 16, 
21, 38, 80, 24, 24, 87,26, 16, 100,60, 10, 72, 60, 15, 65, 15, 65,55,
75, 18, 44, 324, 96, 20, 337, 39, 29, 294, 19, 43, 211, 21, 55, 191, 30, 66
52, 60, 35, 39, 53, 93, 30, 63, 95, 21, 70, 96,14, 78, 47,  
0, 0, 1, 144, 68, 16, 141, 94, 28, 147, 96, 55, 144, 40, 86
195, 100, 88, 0, 0, 100, 234, 77, 43, 248, 96, 47, 240, 83, 32
196, 80, 93, 240, 11, 21, 300, 2, 100, 10, 81, 99, 45, 67, 1
41, 12, 80, 343, 13, 71, 18, 17, 52, 28, 82, 43, 6, 76, 33
1, 55, 94, 218, 40, 46, 151, 62, 89, 161, 56, 79, 127, 16, 42
52, 49, 95, 49, 70, 95, 33, 72, 93, 36, 77, 95, 41, 31, 95
63, 18, 85, 208, 36, 81, 272, 22, 57, 339, 77, 49, 27, 100, 32